category,seller_id,revenue,rank_in_category
home_comfort_2,45d33f715e24d15a6ccf5c17b3a23e3c,59.9,3
home_confort,2528513dd95219a6013d4d05176e391a,26475,1
home_confort,4a3ca9315b744ce9f8e9374361493884,24552.700000000037,2
home_confort,11305281b50fff20ae8bb473f8e11876,2469.84,3
home_construction,213b25e6f54661939f11710a6fddb871,13919.50000000001,1
home_construction,1025f0e2d44d7041d6cf58b6550e0bfa,10227.5,2
home_construction,48162d548f5b1b11b9d29d1e01f75a61,6096.600000000002,3
housewares,955fee9216a65b617aa5c0531780ce60,30844,1
housewares,53e4c6e0f4312d4d2107a8c9cddf45cd,27171.580000000075,2
housewares,9de4643a8dbde634fe55621059d92273,17294.409999999993,3
industry_commerce_and_business,0dd184061fb0eaa7ca37932c68ab91c5,9863,1
industry_commerce_and_business,eeb6de78f79159600292e314a77cbd18,4126.94,2
industry_commerce_and_business,955fee9216a65b617aa5c0531780ce60,3760,3
kitchen_dining_laundry_garden_furniture,b32be1695eb7ec5f10f72d9610a12527,7128,1
kitchen_dining_laundry_garden_furniture,014c0679dd340a0e338872e7ec85666a,5073,2
kitchen_dining_laundry_garden_furniture,f80edd2c5aaa505cc4b0a3b219abf4b8,3477.800000000004,3
la_cuisine,c731d18cea9bf687ffee82a241c25b11,1935,1
la_cuisine,3078096983cf766a32a06257648502d1,119.99,2
luggage_accessories,5dceca129747e92ff8ef7a997dc4f8ca,30476.800000000145,1
luggage_accessories,dbc22125167c298ef99da25668e1011f,20991.57000000001,2
luggage_accessories,d1b65fc7debc3361ea86b5f14c68d2e2,8914.009999999997,3
market_place,062ce95fa2ad4dfaedfc79260130565f,3328.7000000000007,1
market_place,7d456afc660226829370f3173d14520c,3202.9,2
market_place,aae3bfea055532c57fb453ed3ec80b30,3057.9199999999973,3
music,522620dcb18a6b31cd7bdf73665113a9,1316,1
music,ce248b21cb2adc36282ede306b7660e5,1165.97,2
music,7681ef142fd2c19048da7430856b5588,1100,3
musical_instruments,f5a590cf36251cf1162ea35bef76fe84,39649.780000000006,1
musical_instruments,d23019c84ffae2d5ef2270367b8605fc,29205.1,2
musical_instruments,7b0df942f46435babab05d49b744b2c4,22241.630000000005,3
office_furniture,7c67e1448b00f6e969d365cea6b010ab,172959.66000000175,1
office_furniture,17a053fcb14bd219540cbde0df490be0,38743.6400000001,2
office_furniture,a7f13822ceb966b076af67121f87b063,11492.849999999984,3
party_supplies,6bbcb8924baf70b7fe2fe2097e8cd407,2239.4,1
party_supplies,dbb9b48c841a0e39e21f98e1a6b2ec3e,681.1999999999999,2
party_supplies,c3aad7dc65449ae90a5e9c3c6c1e78e0,510,3
perfumery,620c87c171fb2a6dd6e8bb4dec959fc6,72750.20000000022,1
perfumery,fe2032dab1a61af8794248c8196565c9,65149.1100000001,2
perfumery,cc419e0650a3c5ba77189a1882b7556a,40023.430000000146,3
pet_shop,f45122a9ab94eb4f3f8953578bc0c560,18263.740000000005,1
pet_shop,66922902710d126a0e7d26b0e3805106,14362.299999999997,2
pet_shop,5cf13accae3222c70a9cac40818ae839,14273.299999999981,3
security_and_services,48162d548f5b1b11b9d29d1e01f75a61,183.29,1
security_and_services,4e922959ae960d389249c378d1c939f5,100,2
signaling_and_security,55d3daac7c404d59e51c2aa2f4dc5a23,3355.6000000000004,1
signaling_and_security,52d76513f0c4d97f3b99570e2c94ee31,2919.4,2
signaling_and_security,014c0679dd340a0e338872e7ec85666a,1396,3
small_appliances,59417c56835dd8e2e72f91f809cd4092,36459,1
small_appliances,ba90964cff9b9e0e6f32b23b82465f7b,15175.9,2
small_appliances,b32be1695eb7ec5f10f72d9610a12527,15078,3
small_appliances_home_oven_and_coffee,ba90964cff9b9e0e6f32b23b82465f7b,25222.600000000006,1
small_appliances_home_oven_and_coffee,f62d7bb4a613ec758a03342d46b580b2,14590,2
small_appliances_home_oven_and_coffee,ceaec5548eefc6e23e6607c5435102e7,3849,3
sports_leisure,218d46b86c1881d022bce9c68a7d4b15,54056.27999999999,1
sports_leisure,c3cfdc648177fdbbbb35635a37472c53,42388.38000000013,2
sports_leisure,4d6d651bd7684af3fffabd5f08d12e5a,42094.000000000226,3
stationery,3d871de0142ce09b7081e2b9d1733cb1,80133.79999999993,1
stationery,b2ba3715d723d245138f291a6fe42594,14401.199999999979,2
stationery,aba1721a889e04decc910aa13b768ef4,13181.3,3
tablets_printing_image,0db783cfcd3b73998abc6e10e59a102f,4993.799999999999,1
tablets_printing_image,e62b2d6ac10570a035a30bafcf01d263,1062.1599999999999,2
tablets_printing_image,403aa86912527d730337ffcb0fb096ab,889.99,3
telephony,53243585a1d6dc2643021fd1853d8905,55904.30000000001,1
telephony,ea8482cd71df3c1969d7b9473ff13abc,36536.75000000057,2
telephony,75d34ebb1bd0bd7dde40dd507b8169c3,14754.329999999987,3
toys,46dc3b2cc0980fb8ec44634e21d2718e,80796.99000000035,1
toys,850f4f8af5ea87287ac68de36e29107f,19022.75999999999,2
toys,b94cc9f10ddc85e4ba73a6f7974e7101,15547.699999999995,3
watches_gifts,4869f7a5dfa277a7dca6462dcf3b52b2,201071.72999999858,1
watches_gifts,fa1c13f2614d7b5c4749cbc52fecda94,192092.7399999987,2
watches_gifts,7e93a43ef30c4f03f38b393420bc753a,169768.06000000008,3
